Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Craig Anderson\andercr01,31,OTT,10,10,5,4,29,352,323,.918,3.01,0,,578,6,.600,2,107,-1.82,0,0,0,0
2,Jonathan Bernier\bernijo01,24,LAK,1,0,0,0,0,9,9,1.000,0.00,0,,30,0,,0,,,0,0,0,0
3,Peter Budaj\budajpe01,30,MTL,2,1,0,2,7,31,24,.774,6.72,0,,63,0,.000,1,,,0,0,0,0
4,Corey Crawford\crawfco01,28,CHI,23,23,16,7,46,674,628,.932,1.84,1,,1504,19,.826,1,88,6.04,0,0,0,0
5,Brian Elliott\elliobr01,27,STL,6,6,2,4,12,149,137,.919,1.90,0,,378,3,.500,0,104,-0.49,0,0,0,0
6,Marc-Andre Fleury\fleurma01,28,PIT,5,4,2,2,17,145,128,.883,3.51,1,,290,1,.250,1,152,-5.80,0,1,1,0
7,Josh Harding\hardijo01,28,MIN,5,5,1,4,12,135,123,.911,2.94,0,,245,3,.600,2,115,-1.58,0,0,0,0
8,Jonas Hiller\hillejo01,30,ANA,7,7,3,4,18,218,200,.917,2.46,1,,439,4,.571,1,107,-1.17,0,1,1,0
9,Braden Holtby\holtbbr01,23,WSH,7,7,3,4,16,205,189,.922,2.22,1,,433,4,.571,1,101,-0.17,0,0,0,2
10,Jimmy Howard\howarja02,28,DET,14,14,7,7,35,461,426,.924,2.44,1,,859,11,.786,0,98,0.60,0,0,0,2
11,Darcy Kuemper\kuempda01,22,MIN,2,0,0,0,4,33,29,.879,3.27,0,,73,0,,0,,,0,0,0,0
12,Robin Lehner\lehnero01,21,OTT,2,0,0,1,2,25,23,.920,2.43,0,,49,0,,0,,,0,0,0,0
13,Henrik Lundqvist\lundqhe01,30,NYR,12,12,5,7,27,411,384,.934,2.14,2,,756,8,.667,1,85,4.74,0,0,0,0
14,Roberto Luongo\luongro01,33,VAN,3,2,0,2,6,71,65,.915,2.58,0,,140,0,.000,0,,,0,0,0,0
15,Evgeni Nabokov\nabokev01,37,NYI,6,6,2,4,24,152,128,.842,4.44,0,,324,0,.000,3,204,-12.26,0,0,0,0
16,Antti Niemi\niemian02,29,SJS,11,11,7,4,21,298,277,.930,1.87,0,,673,10,.909,0,91,2.01,0,1,1,0
17,Kevin Poulin\poulike01,22,NYI,2,0,0,0,1,15,14,.933,1.14,0,,52,0,,0,,,0,0,0,0
18,Carey Price\priceca01,25,MTL,4,4,1,2,13,123,110,.894,3.26,0,,239,2,.500,1,137,-3.50,0,0,0,0
19,Jonathan Quick\quickjo01,27,LAK,18,18,9,9,34,518,484,.934,1.86,3,,1099,13,.722,1,85,6.00,0,1,1,14
20,Tuukka Rask\rasktu01,25,BOS,22,22,14,8,46,761,715,.940,1.88,3,,1466,17,.773,0,78,12.76,0,0,0,0
21,James Reimer\reimeja01,24,TOR,7,7,3,4,21,272,251,.923,2.87,0,,438,4,.571,0,100,0.00,0,0,0,0
22,Cory Schneider\schneco01,26,VAN,2,2,0,2,9,75,66,.880,4.60,0,,117,1,.500,1,,,0,0,0,0
23,Tomas Vokoun\vokouto01,36,PIT,11,11,6,5,23,345,322,.933,2.01,1,,685,7,.636,1,86,3.64,0,0,0,0
